Current (A),Battery Voltage (V),Accel X (m_s2),Accel Y (m_s2),Accel Z (m_s2),Gyro H (deg),Gyro R (deg),Gyro P (deg),Latitude,Longitude,GPS Status
8.3,19.38,-0.81,-0.08,9.56,0.0,2035.19,-0.31,20.7369,-103.4546,A
8.27,19.44,326.85,-0.06,9.57,0.0,2043.19,-0.31,20.7369,-103.4546,A
8.36,19.22,-0.8,-0.05,9.59,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.3,19.31,-0.79,-0.05,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.28,19.39,326.87,-0.04,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.28,19.19,-0.82,-0.06,9.59,0.0,-12.81,-0.31,20.7369,-103.4546,A
8.35,19.38,-0.82,-0.07,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.28,19.41,-0.79,-0.07,9.57,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.32,19.22,326.89,-0.07,9.59,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.33,19.33,-0.79,-0.07,9.56,0.0,2035.19,-0.31,20.7369,-103.4546,A
8.24,19.41,-0.79,-0.05,9.56,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.32,19.23,-0.8,-0.06,9.59,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.3,19.35,326.86,-0.08,9.57,0.0,2035.19,-0.31,20.7369,-103.4546,A
8.31,19.44,-0.86,-0.05,9.57,0.0,2035.19,-0.31,20.7369,-103.4546,A
8.34,19.24,-0.82,-0.05,9.57,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.26,19.3,-0.8,-0.08,9.56,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.3,19.44,326.86,-0.07,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.26,19.24,-0.81,-0.05,9.57,0.0,-12.81,-0.31,20.7369,-103.4546,A
8.31,19.33,-0.8,-0.08,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.27,19.42,326.85,-0.08,9.57,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.34,19.22,326.89,-0.07,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.34,19.38,-0.79,-0.06,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.25,19.38,-0.81,-0.07,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.35,19.27,-0.79,-0.09,9.53,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.33,19.37,-0.79,-0.07,9.55,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.27,19.41,326.85,-0.07,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.31,19.24,-0.8,-0.07,9.6,0.0,2035.19,-0.31,20.7369,-103.4546,X
8.28,19.38,-0.79,-0.07,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,X
8.31,19.41,-0.81,-0.07,9.6,0.0,-4.81,-0.31,20.7369,-103.4546,X
8.29,19.23,-0.8,-0.07,9.56,0.0,-4.81,-0.31,20.7369,-103.4546,X
8.34,19.37,-0.79,-0.06,9.56,0.0,2035.19,-0.31,20.7369,-103.4546,X
8.3,19.44,-0.79,-0.04,9.54,0.0,-4.81,-0.31,20.7369,-103.4546,X
8.28,19.22,-0.79,-0.05,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,X
8.32,19.37,326.9,-0.06,9.56,0.0,-4.81,-0.31,20.7369,-103.4546,X
8.27,19.5,-0.8,-0.05,9.6,0.0,2043.19,-0.31,20.7369,-103.4546,X
8.36,19.3,-0.79,-0.08,9.57,0.0,2043.19,-0.31,20.7369,-103.4546,X
8.3,19.34,-0.8,-0.06,9.58,0.0,-12.81,-0.31,20.7369,-103.4546,X
8.31,19.42,326.89,-0.07,9.54,0.0,-4.81,-0.31,20.7369,-103.4546,X
8.35,19.24,326.89,-0.06,9.57,0.0,2035.19,-0.31,20.7369,-103.4546,X
8.23,19.34,-0.81,-0.06,9.6,0.0,-12.81,-0.31,20.7369,-103.4546,X
8.27,19.42,326.87,-0.06,9.57,0.0,-4.81,-0.31,20.7367,0.0,A
8.26,19.31,326.87,-0.05,9.59,0.0,-4.81,-0.31,20.7367,0.0,A
8.29,19.42,-0.8,-0.08,9.57,0.0,2035.19,-0.31,20.7367,0.0,A
8.21,19.53,-0.79,-0.06,9.59,0.0,-4.81,-0.31,20.7369,10.5333,A
8.33,19.23,326.89,-0.06,9.56,0.0,-4.81,-0.31,20.7369,10.5333,A
8.34,19.39,-0.79,-0.08,9.59,0.0,2043.19,-0.31,20.7369,-103.4546,A
8.19,19.38,-0.82,-0.08,9.58,0.0,2035.19,-0.31,20.7369,-103.4546,A
8.3,19.23,-0.79,-0.07,9.57,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.32,19.42,-0.78,-0.07,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.3,19.46,326.89,-0.07,9.56,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.31,19.26,-0.81,-0.08,9.57,0.0,2043.19,-0.31,20.7369,-103.4546,A
8.28,19.35,-0.8,-0.08,9.54,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.29,19.45,-0.8,-0.07,9.58,0.0,-4.81,-0.31,20.7369,-103.4546,A
8.31,19.28,326.88,-0.07,9.55,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.3,19.38,-0.81,-0.06,9.56,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.3,19.5,-0.82,-0.07,9.57,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.29,19.33,-0.79,-0.06,9.57,0.0,-12.81,-0.31,20.7368,-103.4545,A
8.29,19.34,-0.8,-0.06,9.55,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.28,19.46,-0.8,-0.08,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
8.33,19.28,326.89,-0.06,9.59,0.0,2035.19,-0.31,20.7368,-103.4545,A
8.31,19.35,-0.82,-0.08,9.57,0.0,-4.81,-0.31,20.7368,-103.4545,A
